city,pollutant_id,pollutant_avg
Agartala,NO2,5.0
Agartala,PM10,12.0
Agartala,SO2,26.0
Agra,CO,24.666666666666668
Agra,NH3,3.4
Agra,NO2,19.0
Agra,OZONE,9.5
Agra,PM10,80.16666666666667
Agra,PM2.5,68.16666666666667
Agra,SO2,22.666666666666668
Ahmedabad,CO,40.333333333333336
Ahmedabad,NH3,5.625
Ahmedabad,NO2,27.333333333333332
Ahmedabad,OZONE,9.555555555555555
Ahmedabad,PM10,57.111111111111114
Ahmedabad,PM2.5,39.22222222222222
Ahmedabad,SO2,10.666666666666666
Ahmednagar,CO,27.0
Ahmednagar,NH3,6.0
Ahmednagar,NO2,22.0
Ahmednagar,OZONE,7.0
Ahmednagar,PM10,39.0
Ahmednagar,PM2.5,10.0
Ahmednagar,SO2,11.0
Ajmer,CO,24.0
Ajmer,NH3,9.0
Ajmer,NO2,20.0
Ajmer,OZONE,21.0
Ajmer,PM10,72.0
Ajmer,PM2.5,41.0
Ajmer,SO2,20.0
Akola,CO,14.0
Akola,NH3,7.0
Akola,NO2,20.0
Akola,OZONE,8.0
Akola,PM10,25.0
Akola,PM2.5,24.0
Akola,SO2,17.0
Alwar,CO,58.0
Alwar,NH3,10.0
Alwar,NO2,91.0
Alwar,OZONE,20.0
Alwar,PM10,54.0
Alwar,PM2.5,38.0
Alwar,SO2,20.0
Amaravati,CO,14.0
Amaravati,NH3,4.0
Amaravati,NO2,29.0
Amaravati,OZONE,11.0
Amaravati,PM10,35.0
Amaravati,PM2.5,15.0
Amaravati,SO2,17.0
Amravati,CO,23.0
Amravati,NH3,1.5
Amravati,NO2,5.5
Amravati,OZONE,20.5
Amravati,PM10,30.5
Amravati,PM2.5,20.5
Amravati,SO2,12.5
Amritsar,CO,27.0
Amritsar,NH3,7.0
Amritsar,NO2,22.0
Amritsar,OZONE,31.0
Amritsar,PM10,63.0
Amritsar,PM2.5,58.0
Amritsar,SO2,10.0
Anantapur,CO,24.0
Anantapur,NH3,5.0
Anantapur,NO2,19.0
Anantapur,OZONE,13.0
Anantapur,PM10,46.0
Anantapur,PM2.5,51.0
Anantapur,SO2,16.0
Angul,CO,54.0
Angul,NH3,2.0
Angul,NO2,6.0
Angul,OZONE,4.0
Angul,PM10,42.0
Angul,PM2.5,14.0
Angul,SO2,16.0
Ankleshwar,CO,25.0
Ankleshwar,NH3,7.0
Ankleshwar,NO2,24.0
Ankleshwar,OZONE,46.0
Ankleshwar,PM10,56.0
Ankleshwar,PM2.5,54.0
Ankleshwar,SO2,58.0
Araria,CO,35.0
Araria,NH3,5.0
Araria,NO2,42.0
Araria,OZONE,10.0
Araria,PM10,34.0
